timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523946830836214,0,1,-2,4,5,2,2,4
1523946830843233,-2,-3,-3,-6,-3,0,-1,0
1523946830843233,-4,-8,-7,-4,-5,-10,-8,-4
1523946830859274,3,3,5,-1,-12,-9,2,0
1523946830859274,-1,2,9,11,50,26,4,2
1523946830866293,-3,-6,-10,-9,-36,-11,-8,2
1523946830866293,-1,1,-5,-2,6,-8,-2,1
1523946830873312,1,2,6,1,-2,3,0,-10
1523946830873312,1,0,2,-1,-18,-5,5,1
1523946830888355,-2,-7,-9,-1,-9,-3,-5,-6
1523946830888355,-2,-1,4,5,1,-5,-2,2
1523946830896389,1,1,2,-1,18,9,0,5
1523946830896389,-2,-8,-12,-5,-12,-7,-5,-8
1523946830903393,-2,-1,-1,-10,-21,-12,-3,-2
1523946830903393,0,1,-3,2,-1,-5,4,0
1523946830918435,-1,-3,-2,3,6,-2,-9,-4
1523946830918435,-1,-3,-1,-6,-9,-3,4,1
1523946830927455,0,5,4,-2,-10,-11,-2,2
1523946830927455,-1,0,3,6,13,1,-6,-4
1523946830933472,2,-2,-5,-7,13,2,0,3
1523946830933472,-2,0,1,0,-36,5,2,-21
1523946830948512,2,-3,-4,2,21,-9,-2,11
1523946830948512,0,-5,-6,-9,2,5,-6,-6
1523946830956533,-3,0,0,4,-21,-5,4,4
1523946830956533,-1,-4,-10,-6,16,2,-6,-2
1523946830970576,-1,-4,-5,-8,-11,-5,-2,-9
1523946830970576,-1,-1,2,1,-7,-2,4,-2
1523946830979595,2,0,5,9,23,5,4,3
1523946830979595,0,1,3,4,4,-12,-2,3
1523946830985618,-4,-1,-7,-3,-28,4,-1,-7
1523946830985618,0,1,3,1,-4,-52,2,3
1523946830993633,-2,-2,-2,-1,25,85,5,1
1523946830993633,-3,-8,-14,-7,-15,-27,-6,-3
1523946831008672,1,2,5,5,-3,-16,-11,0
1523946831008672,0,0,3,-2,22,8,14,3
1523946831016694,0,-8,-11,-12,-34,14,-4,-3
1523946831016694,-2,-2,0,6,13,13,1,0
1523946831030732,-3,-1,1,0,-12,-2,0,-5
1523946831030732,-1,3,3,5,-1,3,-3,0
1523946831038752,-2,-2,-1,-1,-10,-45,-2,1
1523946831038752,-2,0,-2,6,33,35,6,4
1523946831045772,-1,-4,-7,-1,0,3,-1,-5
1523946831045772,0,-1,-4,-2,-11,4,-8,-2
1523946831053791,1,0,1,2,16,-10,4,3
1523946831053791,2,-1,-1,-7,-38,-10,-4,5
1523946831068838,1,-1,-2,-2,0,-9,-5,-3
1523946831068838,-2,-2,-2,-1,13,30,9,1
1523946831076854,-6,-4,-7,1,-13,-10,-8,-9
1523946831076854,0,3,1,-2,-18,-33,-4,-4
1523946831090890,0,-2,-1,0,8,24,4,0
1523946831090890,2,0,-2,1,-15,-5,-4,0
1523946831098912,-4,-1,-1,-4,-7,-28,-5,-5
1523946831098912,1,-1,1,-2,9,42,6,4
