timestamp,x,y,z
1523946830377995,0.188477,-0.952637,-0.362793
1523946830402066,0.170898,-0.970703,-0.35791
1523946830418103,0.164063,-0.978027,-0.349121
1523946830438163,0.163086,-0.97168,-0.356445
1523946830462219,0.166504,-0.97168,-0.358887
1523946830477258,0.160645,-0.972656,-0.353027
1523946830498321,0.161621,-0.973145,-0.35498
1523946830538422,0.178223,-0.980957,-0.358398
1523946830540428,0.179688,-0.979492,-0.345215
1523946830560479,0.180176,-0.981445,-0.353516
1523946830582539,0.174316,-0.989746,-0.356445
1523946830599584,0.183105,-0.98584,-0.351563
1523946830620645,0.1875,-0.977051,-0.351074
1523946830655733,0.193359,-0.972168,-0.358887
1523946830665761,0.185547,-0.971191,-0.349121
1523946830679799,0.183105,-0.970703,-0.354004
1523946830700854,0.197266,-0.970215,-0.359863
1523946830717901,0.207031,-0.974121,-0.356934
1523946830739959,0.216309,-0.995605,-0.375488
1523946830761016,0.23291,-1.00537,-0.355469
1523946830777057,0.260254,-0.967285,-0.375488
1523946830800118,0.270508,-0.960938,-0.366211
1523946830821174,0.274902,-0.95166,-0.351074
1523946830837216,0.259766,-0.946289,-0.34375
1523946830860276,0.247559,-0.944824,-0.337891
1523946830881333,0.236816,-0.952148,-0.32666
1523946830897378,0.22998,-0.935059,-0.338867
1523946830926453,0.225098,-0.939941,-0.337402
1523946830940492,0.221191,-0.95166,-0.338379
1523946830957536,0.211914,-0.955078,-0.345703
1523946830979595,0.194336,-0.942871,-0.352051
1523946831000656,0.188477,-0.939941,-0.35498
1523946831017702,0.17627,-0.958984,-0.359375
1523946831039753,0.162598,-0.972168,-0.363281
1523946831060811,0.154785,-0.978516,-0.355957
1523946831077856,0.149902,-0.983887,-0.362793
1523946831099915,0.151367,-0.992188,-0.355469
1523946831120971,0.155762,-0.990234,-0.363281
1523946831137013,0.151367,-0.988281,-0.360352
1523946831160075,0.146973,-0.993164,-0.354492
1523946831181132,0.146973,-0.997559,-0.36084
1523946831197173,0.146973,-0.994629,-0.362793
1523946831220237,0.156738,-0.999023,-0.36084
1523946831241289,0.171875,-0.999023,-0.358398
1523946831257332,0.179199,-0.994141,-0.356934
1523946831280396,0.173828,-0.996094,-0.361328
1523946831302456,0.181641,-0.983398,-0.339844
1523946831317495,0.183594,-0.969727,-0.343262
1523946831339553,0.191895,-0.975098,-0.34668
1523946831362620,0.197266,-0.995117,-0.351074
1523946831377653,0.199707,-0.999023,-0.349609
1523946831399712,0.210449,-0.98877,-0.353027
1523946831422773,0.209961,-0.974121,-0.345215
1523946831437813,0.200684,-0.963379,-0.337402
1523946831459871,0.191406,-0.960938,-0.335938
1523946831481929,0.195313,-0.976563,-0.351074
1523946831496974,0.192871,-0.979492,-0.34668
1523946831520034,0.193848,-0.969727,-0.343262
1523946831542088,0.195801,-0.955566,-0.328125
1523946831557129,0.195801,-0.959961,-0.328613
1523946831580192,0.205566,-0.98291,-0.327637
1523946831602250,0.210449,-0.999023,-0.33252
1523946831623306,0.209473,-0.991211,-0.313477
1523946831640351,0.200684,-0.979492,-0.323242
1523946831662411,0.196777,-0.987305,-0.308594
1523946831684471,0.1875,-0.991699,-0.30127
1523946831699509,0.185059,-0.996094,-0.296387
1523946831722570,0.192383,-0.996094,-0.272949
1523946831743626,0.188965,-0.955566,-0.278809
1523946831759668,0.19043,-0.983887,-0.274414
1523946831782731,0.184082,-1.00537,-0.259277
1523946831803789,0.178223,-1.00439,-0.266602
1523946831819828,0.174805,-1.00977,-0.269531
1523946831841889,0.171875,-0.999512,-0.276367
1523946831863946,0.179688,-0.993164,-0.277832
1523946831879990,0.169434,-1.00781,-0.292969
1523946831902048,0.166992,-1.01074,-0.292969
1523946831923103,0.163574,-0.990234,-0.296387
1523946831940148,0.157715,-0.987793,-0.294434
1523946831962219,0.158203,-0.98584,-0.294922
1523946831983265,0.158691,-0.993164,-0.286133
1523946832000310,0.158691,-1.00195,-0.273438
1523946832022366,0.168457,-0.985352,-0.275879
1523946832043423,0.17334,-0.994141,-0.282715
1523946832059465,0.165527,-1.01416,-0.282715
1523946832082527,0.166992,-0.99707,-0.28418
1523946832103588,0.178223,-0.992676,-0.292969
1523946832119625,0.171875,-1.01855,-0.286133
1523946832142686,0.165527,-1.01904,-0.295898
1523946832163743,0.171387,-1.01318,-0.276855
1523946832179788,0.177246,-0.977539,-0.271484
1523946832201845,0.172852,-0.964355,-0.27002
1523946832223902,0.164063,-0.96582,-0.275391
1523946832238943,0.162109,-0.970215,-0.260254
1523946832262008,0.182129,-0.962891,-0.234863
1523946832285068,0.168945,-0.956543,-0.239258
1523946832299102,0.17041,-0.952148,-0.244629
1523946832321168,0.179688,-0.965332,-0.249023
1523946832344224,0.185059,-1.00635,-0.254883
1523946832359263,0.1875,-1.0459,-0.246582
1523946832381323,0.208984,-1.05273,-0.252441
1523946832404384,0.218262,-1.03809,-0.257813
1523946832421427,0.209961,-1.04053,-0.256348
1523946832441481,0.203613,-1.05127,-0.253906
1523946832464543,0.210938,-1.04395,-0.231934
1523946832480587,0.211426,-1.02637,-0.227051
1523946832501644,0.196777,-1.02832,-0.210938
1523946832523699,0.209961,-1.01074,-0.208984
1523946832540745,0.209961,-1.01123,-0.202148
1523946832561808,0.203613,-0.998047,-0.208496
1523946832583864,0.19043,-0.990723,-0.231445
1523946832600905,0.185547,-0.98877,-0.236328
1523946832621961,0.181641,-0.971191,-0.236328
1523946832644020,0.184082,-0.958984,-0.24707
1523946832660062,0.164063,-0.97998,-0.234375
1523946832682121,0.171875,-0.97998,-0.222168
1523946832704180,0.171875,-0.980469,-0.226074
1523946832720222,0.175293,-1.01221,-0.207031
1523946832741278,0.181641,-1.01318,-0.196289
1523946832764340,0.180664,-1.01025,-0.187012
1523946832780383,0.197754,-1.0332,-0.172852
1523946832801443,0.197754,-1.03662,-0.168945
1523946832824499,0.191895,-1.01758,-0.151855
1523946832846560,0.193848,-1.0166,-0.14502
1523946832861609,0.18457,-1.00732,-0.133301
1523946832884667,0.174805,-1.00586,-0.117676
1523946832906718,0.179688,-1.03516,-0.11084
1523946832921759,0.193359,-1.02783,-0.106934
1523946832943816,0.193848,-0.995605,-0.123047
1523946832966881,0.196289,-1.00098,-0.133301
1523946832981918,0.23291,-1.01123,-0.114258
1523946833003978,0.247559,-1.0083,-0.124512
1523946833027040,0.256348,-1.0166,-0.133301
1523946833042078,0.277344,-1.00244,-0.13623
1523946833064138,0.277832,-0.979492,-0.134766
1523946833086200,0.276367,-0.998535,-0.12207
1523946833101236,0.288574,-0.986816,-0.117188
1523946833124299,0.279297,-0.969238,-0.123535
1523946833146357,0.261719,-0.986328,-0.111328
1523946833161401,0.263184,-0.999512,-0.103516
1523946833184457,0.255859,-0.993164,-0.101074
1523946833206515,0.258301,-0.989746,-0.0908203
1523946833221556,0.241211,-0.98877,-0.078125
1523946833244617,0.230957,-1.00781,-0.0727539
1523946833266679,0.227539,-1.01953,-0.0830078
1523946833281718,0.237793,-1.01758,-0.0805664
1523946833303774,0.239746,-1.01904,-0.0864258
