timestamp,x,y,z,w
1523946830377995,-0.0939941,0.813049,-0.572632,-0.0464478
1523946830402066,-0.093689,0.813477,-0.572083,-0.0472412
1523946830418103,-0.0933838,0.81366,-0.571777,-0.0479126
1523946830438163,-0.0932007,0.813721,-0.571655,-0.0484009
1523946830462219,-0.0932007,0.813782,-0.571594,-0.0487671
1523946830477258,-0.0932007,0.81366,-0.571716,-0.0489502
1523946830498321,-0.0934448,0.81366,-0.571716,-0.0489502
1523946830538422,-0.0939331,0.81366,-0.571594,-0.0488281
1523946830540428,-0.0946045,0.813599,-0.571594,-0.048584
1523946830560479,-0.095459,0.813599,-0.571533,-0.0481567
1523946830582539,-0.0966187,0.813477,-0.571594,-0.0475464
1523946830599584,-0.0981445,0.813049,-0.57196,-0.0467529
1523946830620645,-0.0997925,0.8125,-0.57251,-0.0458374
1523946830655733,-0.101685,0.812073,-0.572876,-0.0449829
1523946830665761,-0.103577,0.811646,-0.573242,-0.0440674
1523946830679799,-0.10553,0.81134,-0.573425,-0.0429688
1523946830700854,-0.107605,0.811035,-0.573486,-0.0418701
1523946830717901,-0.109375,0.810669,-0.573792,-0.0405884
1523946830739959,-0.110718,0.810242,-0.574219,-0.0396118
1523946830761016,-0.110962,0.809753,-0.574829,-0.0385742
1523946830777057,-0.111084,0.809021,-0.575867,-0.0380859
1523946830800118,-0.110779,0.808838,-0.576294,-0.0375977
1523946830821174,-0.109741,0.808655,-0.576782,-0.0371704
1523946830837216,-0.108032,0.808533,-0.577271,-0.0370483
1523946830860276,-0.105652,0.808655,-0.577515,-0.0373535
1523946830881333,-0.102783,0.808655,-0.577942,-0.0380859
1523946830897378,-0.0996704,0.808838,-0.578247,-0.0393066
1523946830926453,-0.0966797,0.808899,-0.578491,-0.0408325
1523946830940492,-0.09375,0.808899,-0.578796,-0.0426025
1523946830957536,-0.0907593,0.808899,-0.579163,-0.0444336
1523946830979595,-0.0878906,0.809021,-0.579285,-0.0462646
1523946831000656,-0.0853882,0.80957,-0.578796,-0.0482178
1523946831017702,-0.083313,0.810303,-0.57782,-0.0501709
1523946831039753,-0.081665,0.811096,-0.576843,-0.0519409
1523946831060811,-0.0803223,0.811829,-0.575867,-0.0535278
1523946831077856,-0.0794067,0.812439,-0.574951,-0.0551758
1523946831099915,-0.0788574,0.81311,-0.573914,-0.0567017
1523946831120971,-0.0786743,0.813782,-0.572815,-0.0581665
1523946831137013,-0.0789185,0.814453,-0.571777,-0.0592651
1523946831160075,-0.0796509,0.814941,-0.570923,-0.0599365
1523946831181132,-0.0808716,0.815308,-0.570251,-0.0601196
1523946831197173,-0.0823364,0.815491,-0.569702,-0.0598755
1523946831220237,-0.0839844,0.815674,-0.569336,-0.0593262
1523946831241289,-0.0855713,0.815613,-0.569153,-0.0585327
1523946831257332,-0.0870361,0.815308,-0.56958,-0.0575562
1523946831280396,-0.0881958,0.814636,-0.570496,-0.0562134
1523946831302456,-0.0892334,0.81366,-0.571838,-0.0548096
1523946831317495,-0.0900879,0.812866,-0.572937,-0.0533447
1523946831339553,-0.0908813,0.812256,-0.573792,-0.0519409
1523946831362620,-0.0915527,0.811584,-0.574829,-0.0505371
1523946831377653,-0.0921631,0.810303,-0.576599,-0.0491943
1523946831399712,-0.0927734,0.808777,-0.578735,-0.0479126
1523946831422773,-0.0932617,0.807495,-0.580566,-0.046814
1523946831437813,-0.0935669,0.806458,-0.582031,-0.0457153
1523946831459871,-0.0939941,0.805603,-0.583191,-0.0446167
1523946831481929,-0.0945435,0.805054,-0.583984,-0.0437622
1523946831496974,-0.0951538,0.804199,-0.585144,-0.0427246
1523946831520034,-0.0958862,0.802979,-0.586792,-0.041626
1523946831542088,-0.0964966,0.80188,-0.588196,-0.0406494
1523946831557129,-0.0969849,0.801331,-0.588989,-0.039978
1523946831580192,-0.0974731,0.800903,-0.589478,-0.0393677
1523946831602250,-0.0978394,0.800415,-0.590149,-0.0387573
1523946831623306,-0.0979614,0.799561,-0.591309,-0.0380859
1523946831640351,-0.0981445,0.798645,-0.59259,-0.0375366
1523946831662411,-0.0980835,0.797791,-0.59375,-0.0369873
1523946831684471,-0.0979614,0.796814,-0.595154,-0.036438
1523946831699509,-0.0979004,0.795593,-0.596802,-0.0358887
1523946831722570,-0.0980225,0.794006,-0.598877,-0.0357056
1523946831743626,-0.0983276,0.79303,-0.600098,-0.0358276
1523946831759668,-0.0983276,0.792847,-0.600342,-0.036438
1523946831782731,-0.0977173,0.792725,-0.600525,-0.0372925
1523946831803789,-0.0971069,0.792603,-0.600769,-0.038269
1523946831819828,-0.0967407,0.79248,-0.600891,-0.0389404
1523946831841889,-0.0964966,0.792725,-0.600647,-0.0392456
1523946831863946,-0.0964966,0.793213,-0.599976,-0.0396118
1523946831879990,-0.0966797,0.79364,-0.599365,-0.039856
1523946831902048,-0.0968628,0.793518,-0.599487,-0.0394897
1523946831923103,-0.0969238,0.793457,-0.599609,-0.0391235
1523946831940148,-0.0969849,0.793579,-0.599426,-0.0387573
1523946831962219,-0.0968628,0.79364,-0.599426,-0.0383301
1523946831983265,-0.0968018,0.793457,-0.59967,-0.0377808
1523946832000310,-0.0965576,0.793091,-0.60022,-0.0374756
1523946832022366,-0.0966187,0.792297,-0.601257,-0.0371704
1523946832043423,-0.0969238,0.791382,-0.602417,-0.0369873
1523946832059465,-0.0970459,0.790466,-0.603699,-0.0365601
1523946832082527,-0.0970459,0.78949,-0.60498,-0.0358887
1523946832103588,-0.0971069,0.78894,-0.605713,-0.0354004
1523946832119625,-0.0969849,0.788696,-0.60614,-0.0344849
1523946832142686,-0.0969849,0.788147,-0.606934,-0.03302
1523946832163743,-0.0973511,0.786621,-0.608887,-0.0314331
1523946832179788,-0.0979004,0.785095,-0.61084,-0.0300903
1523946832201845,-0.0981445,0.784119,-0.612061,-0.0288086
1523946832223902,-0.0983276,0.783875,-0.612427,-0.0274658
1523946832238943,-0.0987549,0.783569,-0.612854,-0.026123
1523946832262008,-0.0996704,0.782776,-0.61377,-0.0252686
1523946832285068,-0.100647,0.781799,-0.614807,-0.0247803
1523946832299102,-0.101746,0.781189,-0.615479,-0.0247192
1523946832321168,-0.102844,0.781128,-0.615295,-0.0249023
1523946832344224,-0.103821,0.781555,-0.614685,-0.0250244
1523946832359263,-0.104614,0.781433,-0.614685,-0.0251465
1523946832381323,-0.105347,0.78064,-0.61554,-0.0251465
1523946832404384,-0.106018,0.779724,-0.616577,-0.0249634
1523946832421427,-0.106384,0.779358,-0.617004,-0.0245972
1523946832441481,-0.106567,0.779297,-0.617065,-0.0241089
1523946832464543,-0.107056,0.778564,-0.61792,-0.0234985
1523946832480587,-0.107605,0.777222,-0.619568,-0.0230103
1523946832501644,-0.107849,0.775879,-0.621216,-0.0223389
1523946832523699,-0.108276,0.774536,-0.622864,-0.0215454
1523946832540745,-0.108887,0.77301,-0.624634,-0.020874
1523946832561808,-0.109802,0.77124,-0.626709,-0.0205688
1523946832583864,-0.110779,0.76947,-0.628723,-0.0205078
1523946832600905,-0.111816,0.767944,-0.63031,-0.0204468
1523946832621961,-0.112732,0.766479,-0.631958,-0.0204468
1523946832644020,-0.113708,0.76532,-0.633179,-0.0209961
1523946832660062,-0.114319,0.764343,-0.634216,-0.0215454
1523946832682121,-0.114807,0.763306,-0.635376,-0.0221558
1523946832704180,-0.115356,0.762512,-0.63623,-0.0229492
1523946832720222,-0.116089,0.761353,-0.63739,-0.0238037
1523946832741278,-0.116882,0.759827,-0.639038,-0.0245361
1523946832764340,-0.117676,0.758484,-0.640503,-0.0252075
1523946832780383,-0.118713,0.757141,-0.641846,-0.0258179
1523946832801443,-0.119751,0.75531,-0.643799,-0.0262451
1523946832824499,-0.120789,0.753418,-0.645813,-0.0266113
1523946832846560,-0.121948,0.75177,-0.647461,-0.0269165
1523946832861609,-0.122986,0.750488,-0.648804,-0.0270996
1523946832884667,-0.12439,0.749023,-0.650146,-0.0275269
1523946832906718,-0.12616,0.746948,-0.652222,-0.0278931
1523946832921759,-0.127808,0.744263,-0.654907,-0.0283813
1523946832943816,-0.129517,0.74176,-0.657349,-0.0291138
1523946832966881,-0.131348,0.739807,-0.65918,-0.0299072
1523946832981918,-0.13324,0.737549,-0.661316,-0.0309448
1523946833003978,-0.13501,0.735229,-0.663513,-0.0321045
1523946833027040,-0.136902,0.732666,-0.665894,-0.0332642
1523946833042078,-0.138611,0.730286,-0.668091,-0.0343018
1523946833064138,-0.140076,0.728455,-0.669678,-0.0353394
1523946833086200,-0.141235,0.727173,-0.670837,-0.036438
1523946833101236,-0.142334,0.72583,-0.671936,-0.0374756
1523946833124299,-0.14325,0.724976,-0.672607,-0.0385742
1523946833146357,-0.143921,0.724426,-0.672974,-0.0395508
1523946833161401,-0.144409,0.723755,-0.673584,-0.0406494
